word,frequency,mean_shap,mean_abs_shap,sum_shap,sum_abs_shap,ratio
跌幅,3,0.19391106030282876,0.19391106030282876,0.5817331809084862,0.5817331809084862,0.11927534386465158
下滑,3,0.1663616814314284,0.1663616814314284,0.49908504429428524,0.49908504429428524,0.10232962847836989
减持,11,0.1624534434698889,0.1624534434698889,1.786987878168778,1.786987878168778,0.36639408004487745
下跌,9,0.1526115794334112,0.1526115794334112,1.3735042149007008,1.3735042149007008,0.2816156838019544
亏损,3,0.149728156070018,0.149728156070018,0.449184468210054,0.449184468210054,0.09209829121444442
同比下降,1,0.11310922051779926,0.11310922051779926,0.11310922051779926,0.11310922051779926,0.02319128702690509
风险,2,0.03681255865376443,0.03681255865376443,0.07362511730752885,0.07362511730752885,0.01509568556879735
